2015-09-23 23:39:30,132 [INFO  IM] - <msg_server.cpp>|<49>|<main>,MsgServer max files can open: 1024 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<81>|<Listen>,CBaseSocket::Listen on 192.168.1.199:8000
2015-09-23 23:39:30,132 [INFO  IM] - <FileServConn.cpp>|<112>|<Connect>,Connecting to FileServer 192.168.1.199:8600 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8600
2015-09-23 23:39:30,132 [INFO  IM] - <DBServConn.cpp>|<69>|<init_db_serv_conn>,DB server connection index for login business: [0, 2), for other business: [2, 4) 
2015-09-23 23:39:30,132 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 192.168.1.199:10600 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=10600
2015-09-23 23:39:30,132 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 192.168.1.199:10600 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=10600
2015-09-23 23:39:30,132 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 192.168.1.199:10600 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=10600
2015-09-23 23:39:30,132 [INFO  IM] - <DBServConn.cpp>|<144>|<Connect>,Connecting to DB Storage Server 192.168.1.199:10600 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=10600
2015-09-23 23:39:30,132 [INFO  IM] - <LoginServConn.cpp>|<102>|<Connect>,Connecting to LoginServer 192.168.1.199:8100 
2015-09-23 23:39:30,132 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8100
2015-09-23 23:39:30,133 [INFO  IM] - <RouteServConn.cpp>|<139>|<Connect>,Connecting to RouteServer 192.168.1.199:8200 
2015-09-23 23:39:30,133 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8200
2015-09-23 23:39:30,133 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:39:30,133 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:39:30,133 [INFO  IM] - <FileServConn.cpp>|<137>|<OnConfirm>,connect to file server success 
2015-09-23 23:39:30,133 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2015-09-23 23:39:30,133 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2015-09-23 23:39:30,133 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2015-09-23 23:39:30,133 [INFO  IM] - <DBServConn.cpp>|<169>|<OnConfirm>,connect to db server success
2015-09-23 23:39:30,133 [INFO  IM] - <LoginServConn.cpp>|<125>|<OnConfirm>,connect to login server success 
2015-09-23 23:39:30,133 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnConfirm>,connect to route server success 
2015-09-23 23:39:30,133 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:39:34,189 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:39:34,189 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:39:34,189 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:39:42,202 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:39:42,202 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:39:42,203 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:39:58,240 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:39:58,240 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:39:58,240 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:40:30,183 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:40:30,184 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:40:30,184 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
